AÑO;MES;TIPO CONSULTA;FACEBOOK INBOX;FACEBOOK MURO;INSTAGRAN;TIK TOK;TWITTER;YOUTUBE;TOTAL
2021;SEPTIEMBRE;CITA NO ATENDIDA;119;47;2;0;17;0;185
2021;SEPTIEMBRE;CITA NO DISPONIBLES;1151;2223;857;0;9;0;4240
2021;SEPTIEMBRE;MESA DE PARTES - INCONVENIENTES/DEMORA;209;194;25;0;11;0;439
2021;SEPTIEMBRE;COLAS EN OFICINAS;42;6;0;0;0;0;48
2021;SEPTIEMBRE;PVM FALLAS;36;6;4;0;3;0;49
2021;SEPTIEMBRE;PAGOS NO RECONOCIDOS;233;70;56;0;7;0;366
2021;SEPTIEMBRE;APP BIOFACIAL NO COMPATIBLE;301;96;133;0;2;0;532
2021;SEPTIEMBRE;APP BIOFACIAL NO PAGO;110;19;5;0;1;0;135
2021;SEPTIEMBRE;APP BIOFACIAL NO FOTO;342;118;85;0;2;0;547
2021;SEPTIEMBRE;INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA;358;108;66;0;3;0;535
2021;SEPTIEMBRE;NEGATIVA MATRIMONIO /SOLTERIA;123;53;21;0;4;0;201
2021;SEPTIEMBRE;COPIA DE ACTAS;671;236;166;0;5;0;1078
2021;SEPTIEMBRE;INSCRIPCION DE NACIMIENTO;340;144;68;0;13;0;565
2021;SEPTIEMBRE;INSCRIPCION DE CERTIFICADO DE DEFUNCION;52;32;13;0;3;0;100
2021;SEPTIEMBRE;RECTIFICACION PARTIDAS;229;96;127;0;9;0;461
2021;SEPTIEMBRE;EMISION PRIMERA VEZ (CAMBIO DE DNI AMA A ZUL);562;442;165;0;9;0;1178
2021;SEPTIEMBRE;DUPLICADO;452;296;270;0;17;0;1035
2021;SEPTIEMBRE;RENOVACION;1417;1582;171;0;5;0;3175
2021;SEPTIEMBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;731;732;146;0;4;0;1613
2021;SEPTIEMBRE;EMISION PRIMERA VEZ;608;546;64;0;10;0;1228
2021;SEPTIEMBRE;DUPLICADO;158;199;101;0;6;0;464
2021;SEPTIEMBRE;RENOVACION;441;569;79;0;2;0;1091
2021;SEPTIEMBRE;RECTIFICACION DOMICILIO/FOTO/OTROS;91;59;109;0;11;0;270
2021;SEPTIEMBRE;EMISION PRIMERA VEZ;486;313;101;0;4;0;904
2021;SEPTIEMBRE;DUPLICADO;102;14;2;0;3;0;121
2021;SEPTIEMBRE;RENOVACION;128;44;11;0;2;0;185
2021;SEPTIEMBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;76;13;1;0;1;0;91
2021;SEPTIEMBRE;RENOVACION CERTIF. DIGITAL/PERSONA NATURAL DNIE;13;9;3;0;2;0;27
2021;SEPTIEMBRE;RENOVACION PIN;1;0;2;0;1;0;4
2021;OCTUBRE;HORARIO /AGENCIAS;914;718;529;0;22;0;2183
2021;OCTUBRE;NO CONTESTAN TELEFONO;161;14;2;0;19;0;196
2021;OCTUBRE;CAMPAÑA SERVICIOS EN LINEA AMERICA TV;0;0;0;0;0;0;0
2021;OCTUBRE;FECHA DE EMISION / DIGITO VERIFICADOR / OTROS DATOS DEL DNI;668;239;208;0;5;0;1120
2021;OCTUBRE;DEVOLUCION/VALIDEZ DE PAGO;161;120;79;0;6;0;366
2021;OCTUBRE;TRAMITES DISCAPACIDAD;26;16;15;0;2;0;59
2021;OCTUBRE;TRAMITE EXTRANJEROS;24;8;66;0;2;0;100
2021;OCTUBRE;INFORMACION TERCEROS;110;418;61;0;3;0;592
2021;OCTUBRE;EXTEMPORANEOS/INDOCUMENTADOS DNI AZUL;45;23;0;0;27;0;95
2021;OCTUBRE;BONO;0;0;0;0;0;0;0
2021;OCTUBRE;CONSULTA ELECCIONES/PADRON/MULTAS/DISPENSAS;51;51;67;0;32;0;201
2021;OCTUBRE;HUELLAS DIGITALES;0;0;0;0;0;0;0
2021;OCTUBRE;RECOJO DNI;1006;832;429;0;5;0;2272
2021;OCTUBRE;CITA NO ATENDIDA;75;0;22;0;17;0;114
2021;OCTUBRE;CITA NO DISPONIBLES;283;38;239;0;9;0;569
2021;OCTUBRE;MESA DE PARTES - INCONVENIENTES/DEMORA;103;82;15;0;11;0;211
2021;OCTUBRE;COLAS EN OFICINAS;19;34;0;0;0;0;53
2021;OCTUBRE;PVM FALLAS;12;0;7;0;3;0;22
2021;OCTUBRE;PAGOS NO RECONOCIDOS;159;67;45;0;7;0;278
2021;OCTUBRE;APP BIOFACIAL NO COMPATIBLE;161;56;102;0;2;0;321
2021;OCTUBRE;APP BIOFACIAL NO PAGO;89;12;16;0;1;0;118
2021;OCTUBRE;APP BIOFACIAL NO FOTO;261;47;58;0;2;0;368
2021;OCTUBRE;INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA;305;91;91;0;3;0;490
2021;OCTUBRE;NEGATIVA MATRIMONIO /SOLTERIA;115;41;42;0;4;0;202
2021;OCTUBRE;COPIA DE ACTAS;478;256;155;0;5;0;894
2021;OCTUBRE;INSCRIPCION DE NACIMIENTO;298;136;79;0;13;0;526
2021;OCTUBRE;INSCRIPCION DE CERTIFICADO DE DEFUNCION;60;17;9;0;3;0;89
2021;OCTUBRE;RECTIFICACION PARTIDAS;181;141;110;0;9;0;441
2021;OCTUBRE;EMISION PRIMERA VEZ (CAMBIO DE DNI AMA A ZUL);446;319;53;0;9;0;827
2021;OCTUBRE;DUPLICADO;426;250;236;0;17;0;929
2021;OCTUBRE;RENOVACION;1021;1057;201;0;5;0;2284
2021;OCTUBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;517;380;135;0;4;0;1036
2021;OCTUBRE;EMISION PRIMERA VEZ;339;205;50;0;10;0;604
2021;OCTUBRE;DUPLICADO;199;154;96;0;6;0;455
2021;OCTUBRE;RENOVACION;333;371;52;0;2;0;758
2021;OCTUBRE;RECTIFICACION DOMICILIO/FOTO/OTROS;57;32;92;0;11;0;192
2021;OCTUBRE;EMISION PRIMERA VEZ;321;265;50;0;4;0;640
2021;OCTUBRE;DUPLICADO;74;9;0;0;3;0;86
2021;OCTUBRE;RENOVACION;102;25;5;0;2;0;134
2021;OCTUBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;55;5;5;0;1;0;66
2021;OCTUBRE;RENOVACION CERTIF. DIGITAL/PERSONA NATURAL DNIE;10;1;1;0;2;0;14
2021;OCTUBRE;RENOVACION PIN;0;1;0;0;1;0;2
2021;NOVIEMBRE;HORARIO /AGENCIAS;972;774;795;0;0;0;2541
2021;NOVIEMBRE;NO CONTESTAN TELEFONO;129;32;3;0;0;0;164
2021;NOVIEMBRE;CAMPAÑA SERVICIOS EN LINEA AMERICA TV;0;5;0;0;0;0;5
2021;NOVIEMBRE;FECHA DE EMISION / DIGITO VERIFICADOR / OTROS DATOS DEL DNI;540;222;190;0;0;0;952
2021;NOVIEMBRE;DEVOLUCION/VALIDEZ DE PAGO;156;167;101;0;0;0;424
2021;NOVIEMBRE;TRAMITES DISCAPACIDAD;25;29;47;0;0;0;101
2021;NOVIEMBRE;TRAMITE EXTRANJEROS;17;9;74;0;0;0;100
2021;NOVIEMBRE;INFORMACION TERCEROS;208;486;115;0;0;0;809
2021;NOVIEMBRE;EXTEMPORANEOS/INDOCUMENTADOS DNI AZUL;69;48;0;0;0;0;117
2021;NOVIEMBRE;BONO;0;0;10;0;0;0;10
2021;NOVIEMBRE;CONSULTA ELECCIONES/PADRON/MULTAS/DISPENSAS;21;12;62;0;0;0;95
2021;NOVIEMBRE;HUELLAS DIGITALES;0;0;0;0;0;0;0
2021;NOVIEMBRE;RECOJO DNI;887;870;507;0;0;0;2264
2021;NOVIEMBRE;CITA NO ATENDIDA;73;0;79;0;0;0;152
2021;NOVIEMBRE;CITA NO DISPONIBLES;179;5;198;0;0;0;382
2021;NOVIEMBRE;MESA DE PARTES - INCONVENIENTES/DEMORA;76;100;20;0;0;0;196
2021;NOVIEMBRE;COLAS EN OFICINAS;55;34;0;0;0;0;89
2021;NOVIEMBRE;PVM FALLAS;3;4;24;0;0;0;31
2021;NOVIEMBRE;PAGOS NO RECONOCIDOS;141;68;112;0;0;0;321
2021;NOVIEMBRE;APP BIOFACIAL NO COMPATIBLE;174;163;136;0;0;0;473
2021;NOVIEMBRE;APP BIOFACIAL NO PAGO;116;30;19;0;0;0;165
2021;NOVIEMBRE;APP BIOFACIAL NO FOTO;273;36;106;0;0;0;415
2021;NOVIEMBRE;INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA;384;184;58;0;0;0;626
2021;NOVIEMBRE;NEGATIVA MATRIMONIO /SOLTERIA;101;49;47;0;0;0;197
2021;NOVIEMBRE;COPIA DE ACTAS;589;351;207;0;0;0;1147
2021;NOVIEMBRE;INSCRIPCION DE NACIMIENTO;361;229;159;0;0;0;749
2021;NOVIEMBRE;INSCRIPCION DE CERTIFICADO DE DEFUNCION;38;11;20;0;0;0;69
2021;NOVIEMBRE;RECTIFICACION PARTIDAS;285;187;150;0;0;0;622
2021;NOVIEMBRE;EMISION PRIMERA VEZ (CAMBIO DE DNI AMA A ZUL);378;473;167;0;0;0;1018
2021;NOVIEMBRE;DUPLICADO;495;394;237;0;0;0;1126
2021;NOVIEMBRE;RENOVACION;1181;1441;281;0;0;0;2903
2021;NOVIEMBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;483;491;180;0;0;0;1154
2021;NOVIEMBRE;EMISION PRIMERA VEZ;351;379;82;0;0;0;812
2021;NOVIEMBRE;DUPLICADO;178;318;127;0;0;0;623
2021;NOVIEMBRE;RENOVACION;409;754;109;0;0;0;1272
2021;NOVIEMBRE;RECTIFICACION DOMICILIO/FOTO/OTROS;50;97;105;0;0;0;252
2021;NOVIEMBRE;EMISION PRIMERA VEZ;423;437;85;0;0;0;945
2021;NOVIEMBRE;DUPLICADO;74;29;3;0;0;0;106
2021;NOVIEMBRE;RENOVACION;87;33;10;0;0;0;130
2021;NOVIEMBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;53;3;10;0;0;0;66
2021;NOVIEMBRE;RENOVACION CERTIF. DIGITAL/PERSONA NATURAL DNIE;15;1;2;0;0;0;18
2021;NOVIEMBRE;RENOVACION PIN;1;1;0;0;0;0;2
2021;DICIEMBRE;HORARIO /AGENCIAS;1559;454;325;0;4;0;2342
2021;DICIEMBRE;NO CONTESTAN TELEFONO;1;2;0;0;0;0;3
2021;DICIEMBRE;CAMPAÑA SERVICIOS EN LINEA AMERICA TV;0;0;0;0;0;0;0
2021;DICIEMBRE;FECHA DE EMISION / DIGITO VERIFICADOR / OTROS DATOS DEL DNI;707;40;10;0;3;0;760
2021;DICIEMBRE;DEVOLUCION/VALIDEZ DE PAGO;277;88;50;0;5;0;420
2021;DICIEMBRE;TRAMITES DISCAPACIDAD;10;15;1;0;0;0;26
2021;DICIEMBRE;TRAMITE EXTRANJEROS;0;0;0;0;0;0;0
2021;DICIEMBRE;INFORMACION TERCEROS;9;3;0;0;0;0;12
2021;DICIEMBRE;EXTEMPORANEOS/INDOCUMENTADOS DNI AZUL;32;33;3;0;0;0;68
2021;DICIEMBRE;BONO;306;46;3;0;4;0;359
2021;DICIEMBRE;CONSULTA ELECCIONES/PADRON/MULTAS/DISPENSAS;66;93;37;0;4;0;200
2021;DICIEMBRE;HUELLAS DIGITALES;0;0;0;0;0;0;0
2021;DICIEMBRE;RECOJO DNI;778;456;92;0;4;0;1330
2021;DICIEMBRE;CITA NO ATENDIDA;0;0;0;0;0;0;0
2021;DICIEMBRE;CITA NO DISPONIBLES;0;0;0;0;0;0;0
2021;DICIEMBRE;MESA DE PARTES - INCONVENIENTES/DEMORA;174;34;9;0;10;0;227
2021;DICIEMBRE;COLAS EN OFICINAS;619;429;213;0;20;0;1281
2021;DICIEMBRE;PVM FALLAS;3;1;0;0;1;0;5
2021;DICIEMBRE;PAGOS NO RECONOCIDOS;67;3;3;0;3;0;76
2021;DICIEMBRE;APP BIOFACIAL NO COMPATIBLE;84;78;9;0;12;0;183
2021;DICIEMBRE;APP BIOFACIAL NO PAGO;8;5;1;0;0;0;14
2021;DICIEMBRE;APP BIOFACIAL NO FOTO;60;37;32;0;5;0;134
2021;DICIEMBRE;INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA;232;88;11;0;4;0;335
2021;DICIEMBRE;NEGATIVA MATRIMONIO /SOLTERIA;45;8;2;0;0;0;55
2021;DICIEMBRE;COPIA DE ACTAS;445;160;41;0;7;0;653
2021;DICIEMBRE;INSCRIPCION DE NACIMIENTO;209;117;44;0;1;0;371
2021;DICIEMBRE;INSCRIPCION DE CERTIFICADO DE DEFUNCION;5;9;0;0;1;0;15
2021;DICIEMBRE;RECTIFICACION PARTIDAS;133;85;12;0;2;0;232
2021;DICIEMBRE;EMISION PRIMERA VEZ (CAMBIO DE DNI AMA A ZUL);252;190;59;0;4;0;505
2021;DICIEMBRE;DUPLICADO;303;141;22;0;6;0;472
2021;DICIEMBRE;RENOVACION;1220;889;166;0;14;0;2289
2021;DICIEMBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;352;235;34;0;4;0;625
2021;DICIEMBRE;EMISION PRIMERA VEZ;195;108;24;0;1;0;328
2021;DICIEMBRE;DUPLICADO;130;107;8;0;0;0;245
2021;DICIEMBRE;RENOVACION;311;328;50;0;1;0;690
2021;DICIEMBRE;RECTIFICACION DOMICILIO/FOTO/OTROS;47;22;3;0;0;0;72
2021;DICIEMBRE;EMISION PRIMERA VEZ;300;160;84;0;6;0;550
2021;DICIEMBRE;DUPLICADO;23;11;4;0;0;0;38
2021;DICIEMBRE;RENOVACION;42;16;13;0;1;0;72
2021;DICIEMBRE;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;32;10;6;0;0;0;48
2021;DICIEMBRE;RENOVACION CERTIF. DIGITAL/PERSONA NATURAL DNIE;4;1;1;0;2;0;8
2021;DICIEMBRE;RENOVACION PIN;3;0;0;0;0;0;3
2022;ENERO;AUTENTICACIONES DE FIRMAS/ACTAS;40;30;3;0;2;0;75
2022;ENERO;BONO;10;4;0;0;0;0;14
2022;ENERO;CAIDA SISTEMA;3;0;1;0;0;0;4
2022;ENERO;CAMBIO DNI A AZUL;286;161;45;0;0;0;492
2022;ENERO;CONSULTA ELECCIONES/PADRON/MULTAS/DISPENSAS;17;9;3;0;0;0;29
2022;ENERO;COPIA DE ACTAS;683;277;80;0;54;0;1094
2022;ENERO;DEMORA DE ENTREGA DEL DNI;0;0;0;0;0;0;0
2022;ENERO;DESBLOQUEO PIN DNIE;1;0;0;0;0;0;1
2022;ENERO;DEVOLUCION/VALIDEZ DE PAGO;354;121;78;0;10;0;563
2022;ENERO;DISCAPACIDAD DNI AMARILLO;2;0;0;0;0;0;2
2022;ENERO;DISCAPACIDAD DNI AZUL;15;2;0;0;0;0;17
2022;ENERO;DISCAPACIDAD DNIE;3;0;0;0;1;0;4
2022;ENERO;DUPLICADO DNI AMARILLO;140;99;19;0;0;0;258
2022;ENERO;DUPLICADO DNI AZUL;269;75;31;0;5;0;380
2022;ENERO;DUPLICADO DNIE;17;8;4;0;0;0;29
2022;ENERO;EMISION CERTIFICADO DIGITAL/ENTIDADES PUBLICAS;6;0;0;0;2;0;8
2022;ENERO;EMISION PRIMERA VEZ DNI AMARILLO;236;115;56;0;1;0;408
2022;ENERO;EMISION PRIMERA VEZ DNIE;344;148;65;0;5;0;562
2022;ENERO;ENVIVO FB;0;0;0;0;0;0;0
2022;ENERO;EXTEMPORANEOS DNI AMARILLO;1;1;1;0;0;0;3
2022;ENERO;EXTEMPORANEOS DNIE;0;0;1;0;0;0;1
2022;ENERO;EXTEMPORANEOS/INDOCUMENTADOS DNI AZUL;30;27;9;0;3;0;69
2022;ENERO;FECHA DE EMISION / DIGITO VERIFICADOR / OTROS DATOS DEL DNI;329;50;6;0;5;0;390
2022;ENERO;HABILITACIONES;2;1;0;0;0;0;3
2022;ENERO;HORARIO /AGENCIAS;1432;641;664;0;94;0;2831
2022;ENERO;IMPUGNACIONES;7;1;2;0;0;0;10
2022;ENERO;INCIDENCIA GOR;1;51;0;0;5;0;57
2022;ENERO;INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA;428;119;13;0;15;0;575
2022;ENERO;INSCRIPCION DE CERTIFICADO DE DEFUNCION;18;3;1;0;3;0;25
2022;ENERO;INSCRIPCION DE NACIMIENTO;281;97;59;0;8;0;445
2022;ENERO;LIBERACION DE PAGO;2;0;1;0;1;0;4
2022;ENERO;LIBERACION DE TRAMITE;0;0;0;0;0;0;0
2022;ENERO;MESA DE PARTES - INCONVENIENTES/DEMORA;45;13;3;0;22;0;83
2022;ENERO;MESA DE PARTES - ORIENTACION TRAMITES;45;27;18;0;13;0;103
2022;ENERO;OTRAS INCIDENCIAS;514;226;358;0;17;0;1115
2022;ENERO;PAGO NO REFLEJADO EN BASE DE DATOS;29;0;5;0;1;0;35
2022;ENERO;PASARELA VISA;0;1;1;0;0;0;2
2022;ENERO;PROBLEMAS - REGISTRO DIGITAL NACIMIENTO;0;0;0;0;2;0;2
2022;ENERO;PROBLEMAS - RENOVACION DNI WEB;26;8;0;0;15;0;49
2022;ENERO;PROBLEMAS - SISTEMA OPERATIVO IOS;0;0;0;0;0;0;0
2022;ENERO;PROBLEMAS DNI BIOFACIAL;57;43;6;0;1;0;107
2022;ENERO;PROBLEMAS EN USAR LA APLICACION;46;40;45;0;1;0;132
2022;ENERO;RECOJO DNI;1313;583;227;0;89;0;2212
2022;ENERO;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;395;107;61;0;4;0;567
2022;ENERO;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNIE;35;8;8;0;1;0;52
2022;ENERO;RECTIFICACION DOMICILIO/FOTO/OTROS DNI AMARILLO;33;11;4;0;0;0;48
2022;ENERO;RECTIFICACION PARTIDAS;178;69;20;0;6;0;273
2022;ENERO;RENOVACION CERTIF. DIGITAL/PERSONA NATURAL DNIE;8;0;0;0;0;0;8
2022;ENERO;RENOVACION CERTIFICADOS DIGITALES/PERSONA CONSULTA PUBLICA;2;1;0;0;0;0;3
2022;ENERO;RENOVACION DNI AMARILLO;365;235;74;0;8;0;682
2022;ENERO;RENOVACION DNI AZUL;991;412;126;0;42;0;1571
2022;ENERO;RENOVACION DNIE;15;8;21;0;16;0;60
2022;ENERO;UBICAR ACTA/DIGITALIZACION/ERROR ACTAS;1;0;0;0;0;0;1
2022;FEBRERO;AUTENTICACIONES DE FIRMAS/ACTAS;42;17;0;0;8;0;67
2022;FEBRERO;BONO;7;1;0;0;0;0;8
2022;FEBRERO;CAIDA SISTEMA;44;86;10;0;20;0;160
2022;FEBRERO;CAMBIO DNI A AZUL;262;148;50;0;0;0;460
2022;FEBRERO;CONSULTA ELECCIONES/PADRON/MULTAS/DISPENSAS;15;6;2;0;5;0;28
2022;FEBRERO;COPIA DE ACTAS;630;231;73;0;37;0;971
2022;FEBRERO;DEMORA DE ENTREGA DEL DNI;28;22;0;0;6;0;56
2022;FEBRERO;DESBLOQUEO PIN DNIE;3;1;0;0;0;0;4
2022;FEBRERO;DEVOLUCION/VALIDEZ DE PAGO;303;166;36;0;11;0;516
2022;FEBRERO;DISCAPACIDAD DNI AMARILLO;1;1;0;0;0;0;2
2022;FEBRERO;DISCAPACIDAD DNI AZUL;6;4;0;0;5;0;15
2022;FEBRERO;DISCAPACIDAD DNIE;1;1;0;0;0;0;2
2022;FEBRERO;DUPLICADO DNI AMARILLO;143;101;10;0;0;0;254
2022;FEBRERO;DUPLICADO DNI AZUL;283;81;24;0;11;0;399
2022;FEBRERO;DUPLICADO DNIE;25;10;4;0;4;0;43
2022;FEBRERO;EMISION CERTIFICADO DIGITAL/ENTIDADES PUBLICAS;5;1;0;0;0;0;6
2022;FEBRERO;EMISION PRIMERA VEZ DNI AMARILLO;254;142;35;0;1;0;432
2022;FEBRERO;EMISION PRIMERA VEZ DNIE;337;141;51;0;0;0;529
2022;FEBRERO;ENVIVO FB;0;0;0;0;0;0;0
2022;FEBRERO;EXTEMPORANEOS DNI AMARILLO;4;1;1;0;0;0;6
2022;FEBRERO;EXTEMPORANEOS DNIE;1;0;0;0;0;0;1
2022;FEBRERO;EXTEMPORANEOS/INDOCUMENTADOS DNI AZUL;24;29;6;0;5;0;64
2022;FEBRERO;FECHA DE EMISION / DIGITO VERIFICADOR / OTROS DATOS DEL DNI;228;75;6;0;10;0;319
2022;FEBRERO;HABILITACIONES;2;0;1;0;0;0;3
2022;FEBRERO;HORARIO /AGENCIAS;1603;595;304;0;43;0;2545
2022;FEBRERO;IMPUGNACIONES;4;22;2;0;1;0;29
2022;FEBRERO;INCIDENCIA GOR;3;50;0;0;11;0;64
2022;FEBRERO;INSCRIPCION /C4-C5- NOMBRES IGUALS / NEG SOLTERIA;328;127;26;0;7;0;488
2022;FEBRERO;INSCRIPCION DE CERTIFICADO DE DEFUNCION;19;2;2;0;2;0;25
2022;FEBRERO;INSCRIPCION DE NACIMIENTO;239;102;20;0;8;0;369
2022;FEBRERO;LIBERACION DE PAGO;3;0;0;0;0;0;3
2022;FEBRERO;LIBERACION DE TRAMITE;0;0;0;0;0;0;0
2022;FEBRERO;MESA DE PARTES - INCONVENIENTES/DEMORA;36;31;1;0;25;0;93
2022;FEBRERO;MESA DE PARTES - ORIENTACION TRAMITES;133;52;5;0;13;0;203
2022;FEBRERO;OTRAS INCIDENCIAS;658;362;292;0;54;0;1366
2022;FEBRERO;PAGO NO REFLEJADO EN BASE DE DATOS;21;0;3;0;0;0;24
2022;FEBRERO;PASARELA VISA;0;2;0;0;0;0;2
2022;FEBRERO;PROBLEMAS - REGISTRO DIGITAL NACIMIENTO;3;0;0;0;1;0;4
2022;FEBRERO;PROBLEMAS - RENOVACION DNI WEB;21;6;0;0;10;0;37
2022;FEBRERO;PROBLEMAS - SISTEMA OPERATIVO IOS;2;2;0;0;1;0;5
2022;FEBRERO;PROBLEMAS DNI BIOFACIAL;59;103;6;0;6;0;174
2022;FEBRERO;PROBLEMAS EN USAR LA APLICACION;55;32;27;0;4;0;118
2022;FEBRERO;RECOJO DNI;1440;1104;191;0;127;0;2862
2022;FEBRERO;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNI AZUL;419;179;31;0;15;0;644
2022;FEBRERO;RECTIFICACION DOMICILIO/ ESTADO CIVIL/OTROS DNIE;32;6;10;0;4;0;52
